LSOA	value
E01001625	0
E01001604	0
E01001607	0
E01001608	0
E01001609	0
E01001613	0
E01001614	0
E01001615	1
E01001617	0
E01001653	0
E01001654	0
E01001655	0
E01001660	0
E01001661	0
E01001618	0
E01001619	0
E01033729	0
E01001597	0
E01001598	0
E01001602	0
E01001603	0
E01001596	0
E01001599	0
E01001600	0
E01001601	0
E01001669	0
E01001671	0
E01001676	0
E01032567	0
E01001656	0
E01001657	0
E01001658	0
E01001659	0
E01033726	0
E01001640	0
E01033727	0
E01033728	0
E01033730	0
E01001666	1
E01001667	1
E01001668	0
E01033732	0
E01033733	0
E01001662	0
E01001664	0
E01001665	0
E01033738	0
E01001638	0
E01001641	1
E01001642	0
E01001644	0
E01033746	0
E01001808	0
E01001809	0
E01001814	0
E01001823	0
E01001825	0
E01001714	0
E01001811	0
E01001813	0
E01033701	0
E01001799	0
E01001802	0
E01001804	0
E01001807	0
E01001812	0
E01001725	0
E01001726	0
E01001800	0
E01001824	0
E01001826	0
E01001723	0
E01001724	0
E01001727	0
E01001768	0
E01001769	0
E01001715	0
E01001716	1
E01001717	0
E01001718	0
E01001719	0
E01001720	0
E01001742	0
E01001801	0
E01001803	0
E01001806	0
E01001741	0
E01001805	0
E01001829	0
E01001831	1
E01001832	0
E01001764	0
E01001765	0
E01001767	0
E01001770	0
E01033703	0
E01033713	0
E01001792	0
E01001793	0
E01001794	0
E01001795	0
E01001796	0
E01001736	0
E01001737	0
E01001738	0
E01001739	0
E01001786	0
E01001788	0
E01001790	0
E01001740	0
E01001747	1
E01001830	0
E01001833	0
E01001834	0
E01001835	0
E01001733	0
E01001785	0
E01001789	0
E01001791	0
E01001745	0
E01001746	0
E01001757	0
E01001758	0
E01001759	0
E01001761	0
E01001731	1
E01001734	0
E01001760	1
E01001762	1
E01001846	0
E01001847	0
E01001848	0
E01001849	0
E01001729	0
E01001730	0
E01001732	0
E01001735	0
E01001838	0
E01001850	0
E01001748	1
E01001749	0
E01001763	0
E01001816	0
E01001819	0
E01001744	0
E01001750	0
E01001751	0
E01001756	0
E01033698	0
E01033699	1
E01033700	1
E01033707	0
E01001836	0
E01001840	0
E01001841	0
E01001844	0
E01001845	0
E01001837	0
E01001839	1
E01001842	0
E01001843	0
E01033704	0
E01033712	1
E01001772	0
E01001774	0
E01001775	0
E01001815	0
E01001820	0
E01001821	0
E01001752	0
E01001753	0
E01001754	0
E01001755	0
E01001773	0
E01001776	0
E01001779	0
E01001781	0
E01001782	0
E01001783	0
E01001777	0
E01001780	0
E01001784	0
E01033706	2
E01033708	2
E01033709	0
E01033711	0
E01001798	0
E01001828	0
E01033702	0
E01033705	0
E01033710	0
E01001722	0
E01001728	0
E01001822	0
E01001827	0
E01001874	1
E01001875	0
E01001876	0
E01001877	0
E01001878	0
E01001955	0
E01001957	0
E01001958	0
E01001961	0
E01001954	0
E01001956	0
E01001959	0
E01001960	0
E01001943	2
E01001944	0
E01001945	0
E01001946	0
E01001862	0
E01001940	0
E01001941	1
E01001942	0
E01001858	0
E01001860	0
E01001861	0
E01001863	0
E01001864	0
E01001852	0
E01001853	0
E01001854	0
E01001857	1
E01001859	0
E01001865	0
E01001927	0
E01001930	0
E01001895	0
E01001896	0
E01001897	0
E01001929	0
E01001851	0
E01001855	0
E01001856	0
E01001869	0
E01001873	0
E01001928	0
E01001931	0
E01001932	1
E01001933	0
E01001866	0
E01001867	0
E01001868	0
E01001870	0
E01001871	0
E01001872	0
E01001893	0
E01001894	0
E01001898	2
E01001899	1
E01001900	0
E01001889	0
E01001910	0
E01001914	0
E01001885	0
E01001908	0
E01001909	0
E01001911	0
E01001912	0
E01001886	0
E01001887	0
E01001890	0
E01001892	0
E01001880	0
E01001881	0
E01001882	0
E01001883	0
E01001884	0
E01001888	0
E01001891	0
E01001917	0
E01001918	0
E01001919	0
E01001879	0
E01001901	0
E01001902	0
E01001903	0
E01001920	0
E01001921	0
E01001922	0
E01001923	0
E01001924	0
E01001947	0
E01001948	0
E01001949	0
E01001950	0
E01001951	0
E01001953	1
E01001904	0
E01001905	0
E01001906	0
